sample_type,rand_id,landslide_id,x,y,pt_elev,area_m2,z_min,z_max,relief_m
random,596,4061,429575.1081665577,2756734.411880688,596.0,1325.264565172413,582.0,612.0,30.0
random,597,637,426261.8953268953,2748554.2992922296,818.0,4993.674070193789,771.0,840.0,69.0
random,598,3994,415894.49667883513,2756598.3988312893,342.0,2705.5639526381374,335.0,371.0,36.0
random,599,1737,405935.0523214968,2751832.668684354,254.0,4779.427389989481,237.0,262.0,25.0
random,600,172,429067.1597234822,2746012.741567821,549.0,3574.1933860288573,517.0,555.0,38.0
random,601,3889,414557.9964792824,2756342.020019694,306.0,2145.6044399778416,269.0,319.0,50.0
random,602,3516,418918.67622218037,2755497.957661513,489.0,9551.920644289423,486.0,568.0,82.0
random,603,3877,409615.2945523399,2756328.8407713957,238.0,5390.6994950060625,232.0,271.0,39.0
random,604,1723,409378.53341623663,2751837.93081373,220.0,11584.584592900366,207.0,246.0,39.0
random,605,3844,407256.9371037403,2756231.839915811,255.0,5159.002427980849,249.0,281.0,32.0
random,606,1845,410412.47474913753,2752244.6414891635,290.0,3410.5689663924986,281.0,311.0,30.0
random,607,361,420841.89779827616,2747279.792925544,427.0,2277.1741974845218,408.0,427.0,19.0
random,608,4138,417462.5053442842,2756588.7417542418,505.0,40478.048259219264,371.0,600.0,229.0
random,609,2444,434318.01446557627,2753435.5404389063,501.0,1125.8802946128149,492.0,506.0,14.0
random,610,2324,403311.0597576011,2753193.445301518,239.0,4466.97939408414,219.0,242.0,23.0
random,611,864,423498.3327173495,2749289.1030945913,473.0,279.9803938810262,473.0,473.0,0.0
random,612,4353,410914.07598332845,2757205.133801723,283.0,2705.505235945214,263.0,283.0,20.0
random,613,4067,425725.0126503262,2756716.2456174963,490.0,13141.078192483426,448.0,560.0,112.0
random,614,5797,427734.35393311264,2759873.94598258,526.0,2679.3981437146663,489.0,558.0,69.0
random,615,2504,412516.72231749794,2753569.7157088392,283.0,1148.8365707005953,261.0,287.0,26.0
random,616,4297,413464.1210283424,2757085.6345416275,238.0,2349.499600256786,202.0,249.0,47.0
random,617,4076,421338.60807111725,2756398.6816041567,276.0,53384.04210940403,267.0,362.0,95.0
random,618,3222,437902.36764353263,2754919.68124778,512.0,1353.3347642940391,501.0,521.0,20.0
random,619,2678,404008.3627941058,2753890.5974043813,287.0,2051.673165343629,272.0,290.0,18.0
random,620,3338,409335.9247345532,2755122.162085222,203.0,4417.121726325442,192.0,216.0,24.0
random,621,316,424842.50397491374,2747006.2626711037,533.0,2771.611703215441,525.0,536.0,11.0
random,622,2168,403299.90572877816,2752895.7544438955,217.0,4163.407457839294,214.0,234.0,20.0
random,623,5553,412816.07984979573,2759199.35783932,312.0,1238.7774970680935,311.0,331.0,20.0
random,624,5517,421202.7411929325,2759116.422575291,372.0,2038.1537699242683,372.0,394.0,22.0
random,625,6016,427406.7693639053,2760547.4868826126,549.0,2812.8356579354477,510.0,563.0,53.0
random,626,577,433180.47467280994,2748378.523816512,441.0,507.74530979782577,440.0,443.0,3.0
random,627,923,409904.6000495787,2749435.1853585104,295.0,1219.8369129321386,284.0,316.0,32.0
random,628,628,427541.4876784646,2748527.444862407,708.0,2029.1343684898206,696.0,723.0,27.0
random,629,116,429634.12630831834,2745315.1474713264,484.0,650.6513827439,484.0,497.0,13.0
random,630,3352,416106.7007423508,2755147.828885311,448.0,1670.8497606733754,440.0,486.0,46.0
random,631,3790,418206.35693000385,2756112.172817967,457.0,326.64689126764335,457.0,460.0,3.0
random,632,1615,408787.1174303544,2751464.6991977817,184.0,9634.126098615185,177.0,241.0,64.0
random,633,4405,417999.5045805384,2757366.323579234,317.0,701.1175673712095,309.0,318.0,9.0
random,634,1987,404245.5329498654,2752618.5173871126,243.0,1468.2173918615774,237.0,248.0,11.0
random,635,5721,423594.03348457516,2759648.493686115,457.0,863.3686784655745,453.0,463.0,10.0
random,636,3939,430323.80058977497,2756485.4466458755,525.0,2069.339882271472,516.0,530.0,14.0
random,637,5316,424061.98417778657,2758786.803662879,347.0,1092.988084495877,341.0,351.0,10.0
random,638,2740,407852.5983017829,2753976.4833913203,232.0,1961.800408856377,224.0,247.0,23.0
random,639,1664,403772.38051302265,2751728.475950912,263.0,3756.1566694581606,257.0,294.0,37.0
random,640,2297,403681.13245452417,2753198.1972671654,235.0,1599.5287037663536,224.0,256.0,32.0
random,641,2786,406410.0831883498,2754108.2646011747,231.0,1306.8496382325973,231.0,239.0,8.0
random,642,1859,406171.4526834661,2752267.6988169462,255.0,4496.822077275377,248.0,276.0,28.0
random,643,4971,414790.9068162811,2758254.921616526,243.0,2405.595832943644,234.0,249.0,15.0
