point_id,landslide_id,x,y,pt_elev,pt_slope,pt_lith,area_m2,z_min,z_max,relief_m
166,166,425946.5,2746115.75,479,16.18126869,燕山中期正长花岗岩,864.7045414,473,479,6
167,167,428984,2746103.25,577,28.95017052,燕山中期正长花岗岩,1241.376735,541,577,36
168,168,428759,2746115.75,618,26.66558266,燕山中期正长花岗岩,1174.887414,580,618,38
169,169,425784,2746128.25,450,20.84626579,燕山中期正长花岗岩,325.8524279,450,450,0
170,170,425196.5,2746128.25,529,19.1213665,燕山中期正长花岗岩,520.0426961,522,529,7
171,171,424859,2746128.25,630,30.46479416,燕山中期正长花岗岩,250.6942073,630,630,0
172,172,428646.5,2746140.75,631,23.04688835,燕山中期正长花岗岩,744.4757567,618,631,13
173,173,430321.5,2746140.75,530,20.7804184,元古界楼子坝组,752.3453756,520,530,10
174,174,424796.5,2746140.75,663,25.99605751,燕山中期正长花岗岩,454.7921144,645,663,18
175,175,432609,2746165.75,433,14.47057533,燕山早期正长花岗岩,206.8919137,433,433,0
176,176,427609,2746165.75,586,19.68572998,燕山中期正长花岗岩,414.8095339,574,586,12
177,177,429884,2746153.25,542,25.0884304,元古界楼子坝组,793.5208315,532,542,10
178,178,428821.5,2746165.75,603,17.77711868,燕山中期正长花岗岩,1740.057689,572,603,31
179,179,425146.5,2746178.25,538,13.58568001,燕山中期正长花岗岩,605.9532586,534,538,4
180,180,427559,2746190.75,575,32.21418381,燕山中期正长花岗岩,283.1469904,558,575,17
181,181,426284,2746203.25,436,18.16075134,燕山中期正长花岗岩,1327.292122,430,436,6
182,182,428559,2746215.75,677,27.12379074,燕山中期正长花岗岩,1159.56515,643,677,34
183,183,432184,2746228.25,444,19.52872849,燕山早期正长花岗岩,417.3435842,443,444,1
184,184,427671.5,2746228.25,602,32.65096664,燕山中期正长花岗岩,978.5626418,563,602,39
185,185,428759,2746240.75,608,15.11946106,燕山中期正长花岗岩,234.3448979,608,608,0
186,186,428621.5,2746240.75,665,25.99605751,燕山中期正长花岗岩,1418.270515,625,665,40
187,187,431396.5,2746253.25,408,24.31749344,石炭系林地组,2180.932304,365,408,43
188,188,427721.5,2746265.75,615,31.13837051,燕山中期正长花岗岩,1334.399848,548,615,67
189,189,424309,2746278.25,764,21.71472931,燕山中期正长花岗岩,524.1065498,760,764,4
190,190,424896.5,2746278.25,630,23.4076519,燕山中期正长花岗岩,678.134328,618,630,12
191,191,429271.5,2746290.75,573,21.91214752,燕山中期正长花岗岩,2077.581476,546,573,27
192,192,432621.5,2746278.25,422,17.24870682,燕山早期正长花岗岩,384.8066007,419,422,3
193,193,429096.5,2746278.25,569,23.87987709,燕山中期正长花岗岩,1173.751362,557,569,12
194,194,431521.5,2746303.25,428,18.58031464,石炭系林地组,499.1828958,422,428,6
195,195,429034,2746328.25,593,15.35444164,燕山中期正长花岗岩,2127.898453,569,593,24
