OBJECTID,ridge_dist,top_x,top_y,top_z,top_slope_deg,ridge_x,ridge_y,ridge_z,long_axis_len
3175,20.5,410187.2241384058,2754736.110285523,305.50028538880724,11.527973042352134,410202.0496664454,2754721.9521176205,307.1199291647585,134.13594386794168
3176,3.9,416981.6348950269,2754808.7346450053,475.2137608693742,12.156145050965593,416977.7527047685,2754808.362356411,475.7265524687888,57.07939586961291
3177,15.7,408064.3304949912,2754777.362895709,205.48374542611174,29.80032110715867,408052.7348438696,2754766.7784318556,209.07963333660223,74.89796576348236
3178,21.3,408844.8010294118,2754828.7286394057,190.16882936372713,14.366056176200178,408846.3266803184,2754849.973930397,195.05648817608125,14.239685237238223
3179,53.3,410316.5382263201,2754828.207504202,301.08436791371787,18.255059151203536,410263.93523633457,2754836.7990957065,315.1839276565297,35.58934211865749
3180,26.3,414427.61721204064,2754812.621788972,359.8033720660169,23.836533890785958,414402.696520211,2754804.2164859595,366.15710774483676,38.15164567713434
3181,129.4,420181.4317423657,2754836.495289571,533.4603351056576,21.80140948635181,420122.6898703619,2754951.7938258736,587.3057654441268,86.2768049111567
3182,97.4,428992.22443030967,2754837.0727442293,736.0660161362365,27.543671227301132,428913.89036187215,2754894.956539216,789.651985726603,64.98993147598192
3183,16.0,410594.41604449635,2754802.939571343,306.6999022547149,8.206727073997664,410584.01359710546,2754790.782717791,308.49999430569915,38.03222535049627
3184,12.5,409928.0022271409,2754775.167001853,268.4679891877538,7.209120586689089,409920.41513654136,2754765.232916277,269.2236986330649,71.81031202289553
3185,42.4,412986.6938072042,2754837.9135118746,259.63238421482913,28.54879122563375,413023.1925909516,2754859.4912500544,272.63540727613145,59.76735356799772
3186,89.5,414270.6257633427,2754824.6613658206,341.78054806183354,28.087349382301895,414242.20586264,2754909.529258713,367.4713814840885,113.24031519787896
3187,62.9,414522.9535618978,2754859.602995521,353.5031763411352,28.54879122563375,414564.2605417076,2754907.0386721683,374.9146477805607,56.667191979623354
3188,83.3,406289.5634958251,2754807.6234327215,223.9007522937609,25.71843256387208,406266.7898593087,2754727.496960942,248.24484998799733,55.54455017450779
3189,14.0,409882.61281831627,2754819.770807112,259.28473487586797,15.793169048263966,409873.11113356205,2754809.4888818627,261.25923018834953,56.853169250680715
3190,15.0,410248.48878397164,2754847.9585198173,315.8124658884699,7.209120586689089,410262.058454074,2754854.351019588,316.73823271337494,79.61436376381614
3191,243.6,417998.895141759,2754804.628981689,619.8477381684788,24.51631407954091,418233.5988796055,2754739.397735795,726.1914015562133,162.44973466940652
3192,39.8,408609.8022847728,2754865.817190771,207.52687630840228,23.749494492866763,408634.48925968603,2754897.035667185,217.85199702490354,55.60107752504357
3193,9.7,431605.562421222,2754845.8764988403,532.1351136049925,7.209120586689089,431615.25086754246,2754845.4032041174,532.8721869260044,92.87063711686051
3194,99.9,407773.7502247497,2754863.1006210656,227.79578906523165,22.666013397863924,407677.7174230108,2754890.6271717064,247.99739384086206,94.43219357845119
