OBJECTID,ls_count,x_ctr,y_ctr,
361,0,386911.2026,2789547.336,
250,25,430887.3553,2748928.809,0.003880782
1332,25,412887.3553,2757928.809,0.003880782
2165,25,425887.3553,2756928.809,0.003880782
365,0,402887.3553,2796928.809,
366,0,387887.3553,2784928.809,
367,0,415887.3553,2771928.809,
368,0,391887.3553,2768928.809,
369,0,431887.3553,2780928.809,
370,0,429887.3553,2778928.809,
371,0,390887.3553,2789928.809,
372,0,416887.3553,2807928.809,
373,0,413887.3553,2798928.809,
374,0,406751.9772,2815788.29,
375,0,433757.7808,2781135.393,
376,0,423887.3553,2809928.809,
377,0,421887.3553,2803928.809,
378,0,406887.3553,2800928.809,
379,0,417887.3553,2809928.809,
380,0,422887.3553,2754928.809,
381,0,403887.3553,2802928.809,
382,0,419887.3553,2800928.809,
383,0,419887.3553,2782928.809,
384,0,409887.3553,2795928.809,
385,0,396887.3553,2786928.809,
386,0,388950.7721,2769835.934,
387,0,408887.3553,2786928.809,
388,0,435846.3264,2782146.494,
52,24,418887.3553,2755928.809,0.003725551
390,0,436887.3553,2783928.809,
474,24,411887.3553,2753928.809,0.003725551
392,0,428887.3553,2780928.809,
393,0,399887.3553,2794928.809,
394,0,421887.3553,2754928.809,
395,0,423887.3553,2750928.809,
501,24,409887.3553,2757928.809,0.003725551
534,24,429833.2232,2744988.681,0.003725551
398,0,413887.3553,2811928.809,
399,0,422845.7253,2818925.978,
1393,24,407887.3553,2756928.809,0.003725551
1997,24,428887.3553,2745928.809,0.003725551
402,0,419887.3553,2766928.809,
403,0,393887.3553,2757928.809,
404,0,386949.3047,2777997.372,
405,0,414969.0866,2815816.207,
406,0,386738.9749,2768519.122,
407,0,414887.3553,2795928.809,
408,0,401887.3553,2791928.809,
409,0,425887.3553,2795928.809,
410,0,393887.3553,2787928.809,
411,0,402428.6334,2817362.43,
412,0,398702.3111,2754309.06,
413,0,432183.1003,2762554.058,
414,0,391887.3553,2771928.809,
415,0,401887.3553,2802928.809,
416,0,400887.3553,2764928.809,
417,0,385887.3553,2784928.809,
418,0,427524.323,2773558.749,
419,0,398887.3553,2770928.809,
2616,24,416887.3553,2753928.809,0.003725551
421,0,408887.3553,2774928.809,
422,0,424887.3553,2794928.809,
423,0,433730.6513,2762683.607,
424,0,402887.3553,2799928.809,
425,0,424887.3553,2813928.809,
2642,24,408887.3553,2757928.809,0.003725551
427,0,422887.3553,2791928.809,
428,0,395887.3553,2794928.809,
429,0,416887.3553,2778928.809,
